# GRAPHICS.PAK resource catalog
# Source: @react95/icons 2.5.3
# Entries: 975
# name,width,height,source
Access110,32,32,Access110_32x32_4.png
Access218,32,32,Access218_32x32_4.png
Access219,32,32,Access219_32x32_4.png
Access220,32,32,Access220_32x32_4.png
Access221,32,32,Access221_32x32_4.png
Access222,32,32,Access222_32x32_4.png
Access223,32,32,Access223_32x32_4.png
Access224,32,32,Access224_32x32_4.png
Access225,32,32,Access225_32x32_4.png
Access226,32,32,Access226_32x32_4.png
Access227,32,32,Access227_32x32_4.png
Access228,32,32,Access228_32x32_4.png
Access229,32,32,Access229_32x32_4.png
Access230,32,32,Access230_32x32_4.png
Accessibility,64,64,Accessibility_64x64_1.png
Actmovie303,32,32,Actmovie303_32x32_4.png
Addrbook,16,16,Addrbook_16x16_4.png
Amovie2,32,32,Amovie2_32x32_4.png
Appwiz1500,32,32,Appwiz1500_32x32_4.png
Appwiz1501,32,32,Appwiz1501_32x32_4.png
Appwiz1502,32,32,Appwiz1502_32x32_4.png
Appwiz1503,32,32,Appwiz1503_32x32_4.png
ArrowLeft,32,32,ArrowLeft_32x32_4.png
ArrowRight,32,32,ArrowRight_32x32_4.png
Attach,16,16,Attach_16x16_4.png
Awfext326049,32,32,Awfext326049_32x32_4.png
Awfext326050,16,16,Awfext326050_16x16_4.png
Awfext326051,32,32,Awfext326051_32x32_4.png
Awfext326052,32,32,Awfext326052_32x32_4.png
Awfext326053,32,32,Awfext326053_32x32_4.png
Awfxcg321301,32,32,Awfxcg321301_32x32_4.png
Awfxcg321302,32,32,Awfxcg321302_32x32_4.png
Awfxcg321303,32,32,Awfxcg321303_32x32_4.png
Awfxcg321304,32,32,Awfxcg321304_32x32_4.png
Awfxcg321305,32,32,Awfxcg321305_32x32_4.png
Awfxex32109,32,32,Awfxex32109_32x32_4.png
Awfxex32113,32,32,Awfxex32113_32x32_4.png
Awfxex32114,32,32,Awfxex32114_32x32_4.png
Awfxex32115,32,32,Awfxex32115_32x32_4.png
Awfxex32116,32,32,Awfxex32116_32x32_4.png
Awfxex32117,32,32,Awfxex32117_32x32_4.png
Awfxex32118,32,32,Awfxex32118_32x32_4.png
Awfxex32119,32,32,Awfxex32119_32x32_4.png
Awfxex32120,32,32,Awfxex32120_32x32_4.png
Awfxex32121,32,32,Awfxex32121_32x32_4.png
